,
0,air putih
1,anggur
2,apel
3,ayam goreng
4,ayam pop
5,ayam geprek
6,bakso
7,batagor
8,bebek goreng
9,beet salad
10,bubur
11,burger
12,cheesecake
13,chicken wings
14,daging rendang
15,dendeng batokok
16,donat
17,durian
18,es krim
19,french fries
20,gado gado
21,gudeg
22,gulai ikan
23,gulai tambusu
24,gulai tunjang
25,hamburger
26,hot dog
27,jeruk
28,kebab
29,kopi
30,macaroni and cheese
31,mangga
32,nasi goreng
33,nasi pecel
34,nasi putih
35,opor ayam
36,oysters
37,pancakes
38,pempek
39,pepes ikan
40,pisang
41,pizza
42,ramen
43,rawon
44,sate ayam
45,soto
46,spaghetti
47,steak
48,strawberry
49,sushi
50,tahu goreng
51,telur balado
52,telur dadar
53,tempe bacem
54,tempe goreng
55,tomato
56,watermelon
57,wortel
