,
0,air
1,anggur
2,apel
3,ayam
4,ayam goreng
5,ayam pop
6,bakso
7,bakwan
8,batagor
9,beet salad
10,bubur
11,burger
12,cakwe
13,capcay
14,cheesecake
15,chicken wings
16,coto makasar
17,crepes
18,cumi
19,daging rendang
20,dendeng batokok
21,donat
22,durian
23,es krim
24,french fries
25,hu yung hai
26,gudeg
27,gulai ikan
28,gulai tambusu
29,gulau tunjang
30,hamburger
31,hot dog
32,ikan
33,jeruk
34,kacang
35,kebab
36,kentang
37,kerak telor
38,kerupuk
39,kopi
40,macaroni and cheese
41,mie aceh
42,nasi goreng
43,nasi kuning
44,nasi pecel
45,oyster
46,pancakes
47,pempek
48,pepes ikan
49,pizza
50,ramen
51,rawon
52,sate ayam
53,serabi
54,soto banjar
55,soto lamongan
56,sphaghetti
57,steak
58,sushi
59,tahu sumedang
60,telur balado
61,telur dadar
62,tempe bacem
